NFE, Elapsed Time, R1Indicator, AdditiveEpsilonIndicator, Hypervolume, Spacing, R3Indicator, InvertedGenerationalDistance, Population Size, Approximation Set, R2Indicator, GenerationalDistance, Contribution
100, 0.023592887, 0.0, 4.652771728855758, 0.0, 0.23042673107692455, 2.667446868848728, 4.010221660375935, 100, "[org.moeaframework.core.Solution@314b8f2d, org.moeaframework.core.Solution@664a9613, org.moeaframework.core.Solution@5118388b, org.moeaframework.core.Solution@15a902e7, org.moeaframework.core.Solution@7876d598]", 2.129492224066644, 1.8365701111925503, 0.0
200, 0.047448469, 0.0, 4.450315734054939, 0.0, 0.019420622934291573, 2.539941551826667, 3.808518389978178, 100, "[org.moeaframework.core.Solution@4a3e3e8b, org.moeaframework.core.Solution@5af28b27, org.moeaframework.core.Solution@71104a4, org.moeaframework.core.Solution@664a9613, org.moeaframework.core.Solution@4985cbcb]", 2.0282389177538716, 1.7304348901022277, 0.0
300, 0.071876014, 0.0, 4.206822350358652, 0.0, 0.2120731183206384, 2.3870380613635684, 3.55717087298279, 100, "[org.moeaframework.core.Solution@72f46e16, org.moeaframework.core.Solution@3c9168dc, org.moeaframework.core.Solution@332a7fce, org.moeaframework.core.Solution@549621f3, org.moeaframework.core.Solution@4a3e3e8b, org.moeaframework.core.Solution@54361a9, org.moeaframework.core.Solution@32232e55]", 1.906889616236508, 1.4568957589016027, 0.0
400, 0.096290123, 0.0, 3.982722635590126, 0.0, 0.1752015494307132, 2.2476027241307612, 3.331872543441557, 100, "[org.moeaframework.core.Solution@5217f3d0, org.moeaframework.core.Solution@37ebc9d8, org.moeaframework.core.Solution@293bb8a5, org.moeaframework.core.Solution@2416a51, org.moeaframework.core.Solution@332a7fce, org.moeaframework.core.Solution@6fa590ba, org.moeaframework.core.Solution@32232e55, org.moeaframework.core.Solution@6e9319f, org.moeaframework.core.Solution@72e34f77, org.moeaframework.core.Solution@54361a9]", 1.7963462276157225, 1.228413464094733, 0.0
500, 0.120652668, 0.0, 3.776416775634993, 0.0, 0.18644872872164903, 2.1158580677862218, 3.128994189564215, 100, "[org.moeaframework.core.Solution@7bf9b098, org.moeaframework.core.Solution@389adf1d, org.moeaframework.core.Solution@77307458, org.moeaframework.core.Solution@1fc0053e, org.moeaframework.core.Solution@290b1b2e, org.moeaframework.core.Solution@47874b25]", 1.6915217381106178, 1.4120147579648858, 0.0
600, 0.14489806, 0.0, 3.5657341316283184, 0.0, 0.25195122050874263, 1.98359227378489, 2.9212581849650876, 100, "[org.moeaframework.core.Solution@33617539, org.moeaframework.core.Solution@2c177f9e, org.moeaframework.core.Solution@77307458, org.moeaframework.core.Solution@5db4c359, org.moeaframework.core.Solution@209775a9]", 1.5865580758272513, 1.3664577456690878, 0.0
700, 0.16939920700000002, 0.0, 3.3764169438022824, 0.0, 0.27523329539994296, 1.8637374485684532, 2.7433475238318867, 100, "[org.moeaframework.core.Solution@18e7143f, org.moeaframework.core.Solution@f9b7332, org.moeaframework.core.Solution@74cec793, org.moeaframework.core.Solution@6fefce9e, org.moeaframework.core.Solution@209775a9, org.moeaframework.core.Solution@4f8969b0, org.moeaframework.core.Solution@5db4c359]", 1.4912822549061344, 1.2221507451622495, 0.0
800, 0.193570408, 0.0, 3.1325814069143694, 0.0, 0.49086041222670945, 1.710052612112668, 2.5183542982001144, 100, "[org.moeaframework.core.Solution@18e7143f, org.moeaframework.core.Solution@1bdf8190, org.moeaframework.core.Solution@74cec793, org.moeaframework.core.Solution@192f2f27, org.moeaframework.core.Solution@8a589a2, org.moeaframework.core.Solution@c65a5ef, org.moeaframework.core.Solution@6b5176f2]", 1.3692195655234203, 1.13023332437417, 0.0
900, 0.218092681, 9.98003992015968E-4, 3.1325814069143694, 0.0, 0.07188338043557936, 1.7100315816638243, 2.5183542982001144, 100, "[org.moeaframework.core.Solution@1bdf8190, org.moeaframework.core.Solution@b672aa8, org.moeaframework.core.Solution@2fab4aff, org.moeaframework.core.Solution@ec0c838, org.moeaframework.core.Solution@6e46d9f4, org.moeaframework.core.Solution@5cc69cfe, org.moeaframework.core.Solution@192f2f27, org.moeaframework.core.Solution@29cfd92b]", 1.369198710576568, 0.9556681969820049, 0.0
1000, 0.242667338, 9.98003992015968E-4, 3.0992839761342084, 0.0, 0.07570590376710291, 1.6891637469095195, 2.458147798312324, 100, "[org.moeaframework.core.Solution@21c64522, org.moeaframework.core.Solution@7997b197, org.moeaframework.core.Solution@1bdf8190, org.moeaframework.core.Solution@b672aa8, org.moeaframework.core.Solution@11dee337, org.moeaframework.core.Solution@460f76a6, org.moeaframework.core.Solution@ec0c838, org.moeaframework.core.Solution@55f3c410]", 1.3526430659534125, 0.9198525946685042, 0.0
1100, 0.26949804, 9.98003992015968E-4, 2.8462953031687435, 0.0, 0.08709612071757518, 1.5297458130271322, 2.2458781809681057, 100, "[org.moeaframework.core.Solution@11acdc30, org.moeaframework.core.Solution@770d4269, org.moeaframework.core.Solution@4a8ab068, org.moeaframework.core.Solution@1922e6d, org.moeaframework.core.Solution@76a82f33, org.moeaframework.core.Solution@6bab2585, org.moeaframework.core.Solution@74bdc168, org.moeaframework.core.Solution@644c78d4, org.moeaframework.core.Solution@532a02d9]", 1.2260348594086659, 0.916359726517309, 0.0
1200, 0.293994293, 9.98003992015968E-4, 2.8462953031687435, 0.0, 0.110667782499133, 1.5297453430289762, 2.2458781809681057, 100, "[org.moeaframework.core.Solution@770d4269, org.moeaframework.core.Solution@611f8234, org.moeaframework.core.Solution@7bb3a9fe, org.moeaframework.core.Solution@7cbee484, org.moeaframework.core.Solution@7f811d00, org.moeaframework.core.Solution@76a82f33, org.moeaframework.core.Solution@62923ee6, org.moeaframework.core.Solution@4089713]", 1.226034390349354, 0.853846076209216, 0.0
1300, 0.318471133, 9.98003992015968E-4, 2.7169878718645557, 0.0, 0.14082267933957496, 1.4483348042975406, 2.114422718389945, 100, "[org.moeaframework.core.Solution@f19c9d2, org.moeaframework.core.Solution@7807ac2c, org.moeaframework.core.Solution@770d4269, org.moeaframework.core.Solution@b91d8c4, org.moeaframework.core.Solution@4b6166aa, org.moeaframework.core.Solution@7cbee484]", 1.1613906050971718, 0.8961834789226123, 0.0
1400, 0.343290668, 9.98003992015968E-4, 2.6064390896152574, 0.0, 0.12343658674860784, 1.3787348638431072, 2.0070112022897835, 100, "[org.moeaframework.core.Solution@a77614d, org.moeaframework.core.Solution@4fd4cae3, org.moeaframework.core.Solution@4a067c25, org.moeaframework.core.Solution@a1217f9, org.moeaframework.core.Solution@3bde62ff, org.moeaframework.core.Solution@4b6166aa, org.moeaframework.core.Solution@523424b5]", 1.1061250562055898, 0.7351308898339529, 0.0
1500, 0.367514763, 9.98003992015968E-4, 2.3610955372678983, 0.0, 0.13783148058364975, 1.2242472390344656, 1.7698624305938437, 100, "[org.moeaframework.core.Solution@2baa8d82, org.moeaframework.core.Solution@319dead1, org.moeaframework.core.Solution@791cbf87, org.moeaframework.core.Solution@a7e2d9d, org.moeaframework.core.Solution@4a067c25]", 0.983450281301253, 0.7931682332462879, 0.0
1600, 0.391867261, 9.98003992015968E-4, 2.3610955372678983, 0.0, 0.07416652005829595, 1.224238567954022, 1.7698624305938437, 100, "[org.moeaframework.core.Solution@2baa8d82, org.moeaframework.core.Solution@754777cd, org.moeaframework.core.Solution@2b52c0d6, org.moeaframework.core.Solution@319dead1, org.moeaframework.core.Solution@372ea2bc, org.moeaframework.core.Solution@4cc76301, org.moeaframework.core.Solution@2f08c4b, org.moeaframework.core.Solution@3f19b8b3, org.moeaframework.core.Solution@7de0c6ae, org.moeaframework.core.Solution@a486d78]", 0.9834416854322472, 0.567317545989532, 0.0
1700, 0.41499601700000005, 9.98003992015968E-4, 2.213723145243004, 0.0, 0.11896111110369802, 1.1314355409263044, 1.6374169090545991, 100, "[org.moeaframework.core.Solution@cdc3aae, org.moeaframework.core.Solution@7ef2d7a6, org.moeaframework.core.Solution@5dcbb60, org.moeaframework.core.Solution@4c36250e, org.moeaframework.core.Solution@21526f6c]", 0.9097479891310304, 0.6970457678385682, 0.0
1800, 0.43911494500000003, 9.98003992015968E-4, 2.213723145243004, 0.0, 0.04106069716481419, 1.1314355409176224, 1.6374169090545991, 100, "[org.moeaframework.core.Solution@cdc3aae, org.moeaframework.core.Solution@49f5c307, org.moeaframework.core.Solution@299266e2, org.moeaframework.core.Solution@5471388b, org.moeaframework.core.Solution@66ea1466, org.moeaframework.core.Solution@1601e47, org.moeaframework.core.Solution@4c36250e, org.moeaframework.core.Solution@7ef2d7a6]", 0.9097479891223483, 0.58700289770172, 0.0
1900, 0.46339849000000005, 9.98003992015968E-4, 2.1619379378372257, 0.0, 0.10372139925980037, 1.0988281320492335, 1.5884490064490528, 100, "[org.moeaframework.core.Solution@49f5c307, org.moeaframework.core.Solution@3bffddff, org.moeaframework.core.Solution@66971f6b, org.moeaframework.core.Solution@50687efb, org.moeaframework.core.Solution@517bd097, org.moeaframework.core.Solution@142eef62, org.moeaframework.core.Solution@4a9cc6cb, org.moeaframework.core.Solution@5990e6c5, org.moeaframework.core.Solution@56e07a08]", 0.8838553854194591, 0.5185927643647895, 0.0
2000, 0.487557444, 9.98003992015968E-4, 2.148591072746079, 0.0, 0.04851821146747119, 1.0904240585507294, 1.5758161372480715, 100, "[org.moeaframework.core.Solution@35d6ca49, org.moeaframework.core.Solution@1950e8a6, org.moeaframework.core.Solution@47289387, org.moeaframework.core.Solution@12cd9150, org.moeaframework.core.Solution@114a85c2, org.moeaframework.core.Solution@f415a95, org.moeaframework.core.Solution@cf65451, org.moeaframework.core.Solution@724f138e]", 0.8771819528345876, 0.5861967373163364, 0.0
2100, 0.5118438550000001, 9.98003992015968E-4, 2.107901289938039, 0.0, 0.057341121263552564, 1.0648030663821935, 1.5370498410528397, 100, "[org.moeaframework.core.Solution@37eeec90, org.moeaframework.core.Solution@32fe9d0a, org.moeaframework.core.Solution@c9413d8, org.moeaframework.core.Solution@64da2a7, org.moeaframework.core.Solution@46074492, org.moeaframework.core.Solution@d78795, org.moeaframework.core.Solution@12cd9150, org.moeaframework.core.Solution@2c715e84, org.moeaframework.core.Solution@47428937]", 0.8568370612644645, 0.4781624840995242, 0.0
2200, 0.535677928, 9.98003992015968E-4, 1.9952387011149402, 0.0, 0.212994627860662, 0.9938632115093431, 1.4313271645582972, 100, "[org.moeaframework.core.Solution@37eeec90, org.moeaframework.core.Solution@3b9d6699, org.moeaframework.core.Solution@12cd9150, org.moeaframework.core.Solution@7caa550, org.moeaframework.core.Solution@2c715e84, org.moeaframework.core.Solution@21694e53, org.moeaframework.core.Solution@72b16078, org.moeaframework.core.Solution@22c86919]", 0.8005057668529152, 0.4907134536440654, 0.0
2300, 0.559417621, 9.98003992015968E-4, 1.9952387011149402, 0.0, 0.1589563379960836, 0.9938632115071059, 1.4313271645582972, 100, "[org.moeaframework.core.Solution@3b9d6699, org.moeaframework.core.Solution@70fab835, org.moeaframework.core.Solution@1b0a7baf, org.moeaframework.core.Solution@62417a16, org.moeaframework.core.Solution@32057e6, org.moeaframework.core.Solution@26be6ca7, org.moeaframework.core.Solution@6ea1bcdc, org.moeaframework.core.Solution@759fad4]", 0.8005057668506779, 0.4931957101763104, 0.0
2400, 0.5836961930000001, 9.98003992015968E-4, 1.9068283146494578, 0.0, 0.15836842988568453, 0.9381941553400961, 1.348778326318227, 100, "[org.moeaframework.core.Solution@70fab835, org.moeaframework.core.Solution@64712be, org.moeaframework.core.Solution@1b0a7baf, org.moeaframework.core.Solution@53499d85, org.moeaframework.core.Solution@62417a16, org.moeaframework.core.Solution@3b9d6699, org.moeaframework.core.Solution@26be6ca7, org.moeaframework.core.Solution@30ed9c6c]", 0.7563005736179366, 0.47580196933310187, 0.0
2500, 0.6079933430000001, 9.98003992015968E-4, 1.8141254045469766, 0.0, 0.09757974098066768, 0.8798222409569906, 1.2628741634680538, 100, "[org.moeaframework.core.Solution@782a4fff, org.moeaframework.core.Solution@46c670a6, org.moeaframework.core.Solution@59fc684e, org.moeaframework.core.Solution@5ae81e1, org.moeaframework.core.Solution@2fd1731c, org.moeaframework.core.Solution@62417a16, org.moeaframework.core.Solution@5ae76500, org.moeaframework.core.Solution@6063d80a, org.moeaframework.core.Solution@64712be, org.moeaframework.core.Solution@1133ec6e]", 0.709949118566696, 0.3981782645107897, 0.0
2600, 0.631980634, 9.98003992015968E-4, 1.8141254045469766, 0.0, 0.19765326732096863, 0.8798222409552742, 1.2628741634680538, 100, "[org.moeaframework.core.Solution@782a4fff, org.moeaframework.core.Solution@355e34c7, org.moeaframework.core.Solution@54709809, org.moeaframework.core.Solution@2a2da905, org.moeaframework.core.Solution@24f360b2, org.moeaframework.core.Solution@60cf80e7]", 0.7099491185649797, 0.4765642291482066, 0.0
2700, 0.655907845, 9.98003992015968E-4, 1.808002031820599, 0.0, 0.19643066893143885, 0.8759665584516211, 1.257356540125663, 100, "[org.moeaframework.core.Solution@355e34c7, org.moeaframework.core.Solution@302fec27, org.moeaframework.core.Solution@60cf80e7, org.moeaframework.core.Solution@2a2da905, org.moeaframework.core.Solution@770d0ea6]", 0.7068874322017908, 0.5342390953115379, 0.0
2800, 0.6812559530000001, 9.98003992015968E-4, 1.7618167775406135, 0.0, 0.0767175047787572, 0.8468852523133426, 1.214859618929219, 100, "[org.moeaframework.core.Solution@48c40605, org.moeaframework.core.Solution@54107f42, org.moeaframework.core.Solution@1b11ef33, org.moeaframework.core.Solution@476aac9, org.moeaframework.core.Solution@6cea706c, org.moeaframework.core.Solution@3bd7f8dc, org.moeaframework.core.Solution@770d0ea6, org.moeaframework.core.Solution@2f2bf0e2, org.moeaframework.core.Solution@60cf80e7, org.moeaframework.core.Solution@1eba372c, org.moeaframework.core.Solution@21ec5d87]", 0.6837948050617302, 0.32503175234403486, 0.0
2900, 0.7111823270000001, 9.98003992015968E-4, 1.7030898359306788, 0.0, 0.06389711554545704, 0.8099068661564554, 1.1613843016437302, 100, "[org.moeaframework.core.Solution@54107f42, org.moeaframework.core.Solution@25f9407e, org.moeaframework.core.Solution@552518c3, org.moeaframework.core.Solution@3bd7f8dc, org.moeaframework.core.Solution@6cea706c, org.moeaframework.core.Solution@1a69561c, org.moeaframework.core.Solution@59aa20b3, org.moeaframework.core.Solution@363f6148, org.moeaframework.core.Solution@4b21844c, org.moeaframework.core.Solution@1b28f282, org.moeaframework.core.Solution@2f2bf0e2, org.moeaframework.core.Solution@138fe6ec, org.moeaframework.core.Solution@5e77f0f4]", 0.6544313342567627, 0.29963019047134676, 0.0
3000, 0.738503782, 9.98003992015968E-4, 1.699830562130309, 0.0, 0.0674446259675846, 0.8078546107200719, 1.1584297990710501, 100, "[org.moeaframework.core.Solution@54107f42, org.moeaframework.core.Solution@19b30c92, org.moeaframework.core.Solution@552518c3, org.moeaframework.core.Solution@3bd7f8dc, org.moeaframework.core.Solution@455351c4, org.moeaframework.core.Solution@29876704, org.moeaframework.core.Solution@4816c290, org.moeaframework.core.Solution@4940809c, org.moeaframework.core.Solution@16423501]", 0.6528016973565779, 0.3619941810103829, 0.0
3100, 0.763904239, 9.98003992015968E-4, 1.6984688608628395, 0.0, 0.02721395040844092, 0.8069971930865586, 1.1573183249866608, 100, "[org.moeaframework.core.Solution@4efcf8a, org.moeaframework.core.Solution@7a138fc5, org.moeaframework.core.Solution@379ab47b, org.moeaframework.core.Solution@4816c290, org.moeaframework.core.Solution@29876704, org.moeaframework.core.Solution@307765b4, org.moeaframework.core.Solution@4940809c, org.moeaframework.core.Solution@16423501, org.moeaframework.core.Solution@4a9e6faf, org.moeaframework.core.Solution@2c95ac9e]", 0.652120846722843, 0.289593443704301, 0.0
3200, 0.787987816, 9.98003992015968E-4, 1.6493560192573968, 0.0, 0.058403431909361654, 0.776072483364558, 1.1130032390985498, 100, "[org.moeaframework.core.Solution@4e4efc1b, org.moeaframework.core.Solution@459f7aa3, org.moeaframework.core.Solution@4816c290, org.moeaframework.core.Solution@7cc586a8, org.moeaframework.core.Solution@7db534f2, org.moeaframework.core.Solution@307765b4, org.moeaframework.core.Solution@44a2b17b]", 0.6275644259201218, 0.29868570479153866, 0.0
3300, 0.8116580130000001, 9.98003992015968E-4, 1.6493560192573968, 0.0, 0.02534144643044929, 0.776072483364558, 1.1130032390985498, 100, "[org.moeaframework.core.Solution@4e4efc1b, org.moeaframework.core.Solution@7a56812e, org.moeaframework.core.Solution@2a76b80a, org.moeaframework.core.Solution@7eb01b12, org.moeaframework.core.Solution@44a2b17b, org.moeaframework.core.Solution@4816c290, org.moeaframework.core.Solution@2f4854d6, org.moeaframework.core.Solution@7db534f2]", 0.6275644259201218, 0.26934264391594687, 0.0
3400, 0.8354325890000001, 9.98003992015968E-4, 1.638907474778427, 0.0, 0.009046354939847194, 0.7694933852210329, 1.1034737239050167, 100, "[org.moeaframework.core.Solution@61d9efe0, org.moeaframework.core.Solution@7e70bd39, org.moeaframework.core.Solution@4e4efc1b, org.moeaframework.core.Solution@e6516e]", 0.6223401536806369, 0.3324329173320971, 0.0
3500, 0.859002585, 9.98003992015968E-4, 1.593719792563094, 0.0, 0.11252595031794631, 0.7411459687611155, 1.0191267837481517, 100, "[org.moeaframework.core.Solution@6de54b40, org.moeaframework.core.Solution@43ed0ff3, org.moeaframework.core.Solution@388ffbc2, org.moeaframework.core.Solution@a50b09c, org.moeaframework.core.Solution@4da855dd]", 0.5998472468208772, 0.30990669353497957, 0.0
3600, 0.8827888150000001, 9.98003992015968E-4, 1.5860751991820417, 0.0, 0.11543952365687876, 0.7362266726187217, 1.0564768186851434, 100, "[org.moeaframework.core.Solution@6de54b40, org.moeaframework.core.Solution@6691490c, org.moeaframework.core.Solution@a50b09c, org.moeaframework.core.Solution@4da855dd, org.moeaframework.core.Solution@2187fff7]", 0.5959240158824388, 0.3096495527708861, 0.0
3700, 0.906469992, 9.98003992015968E-4, 1.5835880456317752, 0.0, 0.042192091538934696, 0.7346607454489196, 1.0466075482362713, 100, "[org.moeaframework.core.Solution@2e5c7f0b, org.moeaframework.core.Solution@21d5c1a0, org.moeaframework.core.Solution@6691490c, org.moeaframework.core.Solution@4de025bf, org.moeaframework.core.Solution@538613b3, org.moeaframework.core.Solution@1eef9aef, org.moeaframework.core.Solution@11389053]", 0.594680588038656, 0.23785281163527888, 0.0
3800, 0.9301627710000001, 9.98003992015968E-4, 1.537753385747732, 0.0, 0.05492732043006988, 0.7060289218848813, 0.9338364636219146, 100, "[org.moeaframework.core.Solution@2e5c7f0b, org.moeaframework.core.Solution@5db99216, org.moeaframework.core.Solution@3ec11999, org.moeaframework.core.Solution@5c1bd44c, org.moeaframework.core.Solution@9f46d94, org.moeaframework.core.Solution@18cc679e, org.moeaframework.core.Solution@2e77b8cf]", 0.5719715654050644, 0.23104136216164667, 0.0
