NFE, Elapsed Time, R1Indicator, AdditiveEpsilonIndicator, Hypervolume, Spacing, R3Indicator, InvertedGenerationalDistance, Population Size, Approximation Set, R2Indicator, GenerationalDistance, Contribution
1100, 0.25247720100000004, 0.0, 1.3978082382951167, 0.0, 0.05468329492215434, 0.6834048336979898, 1.1569603309234793, 100, "[org.moeaframework.core.Solution@4f9a3314, org.moeaframework.core.Solution@18a70f16, org.moeaframework.core.Solution@3b2c72c2, org.moeaframework.core.Solution@62e136d3, org.moeaframework.core.Solution@c8e4bb0, org.moeaframework.core.Solution@6279cee3, org.moeaframework.core.Solution@4206a205, org.moeaframework.core.Solution@51b7e5df, org.moeaframework.core.Solution@29ba4338, org.moeaframework.core.Solution@255b53dc, org.moeaframework.core.Solution@57175e74, org.moeaframework.core.Solution@7bb58ca3, org.moeaframework.core.Solution@c540f5a, org.moeaframework.core.Solution@770c2e6b, org.moeaframework.core.Solution@1a052a00, org.moeaframework.core.Solution@971d0d8, org.moeaframework.core.Solution@4d826d77, org.moeaframework.core.Solution@61009542, org.moeaframework.core.Solution@351d0846]", 0.5933091044014169, 0.33810965021673467, 0.0
1200, 0.277298323, 0.0, 1.2793780603519356, 0.0, 0.07791255680129983, 0.6164770523850274, 1.0608184649409247, 100, "[org.moeaframework.core.Solution@4f9a3314, org.moeaframework.core.Solution@77e9807f, org.moeaframework.core.Solution@448ff1a8, org.moeaframework.core.Solution@1a38c59b, org.moeaframework.core.Solution@7f77e91b, org.moeaframework.core.Solution@44a664f2, org.moeaframework.core.Solution@7f9fcf7f, org.moeaframework.core.Solution@2357d90a, org.moeaframework.core.Solution@6328d34a, org.moeaframework.core.Solution@145eaa29, org.moeaframework.core.Solution@15bb6bea, org.moeaframework.core.Solution@8b96fde, org.moeaframework.core.Solution@4d826d77, org.moeaframework.core.Solution@2d2e5f00, org.moeaframework.core.Solution@4c40b76e, org.moeaframework.core.Solution@2ea6137]", 0.535443244557098, 0.32659318850098873, 0.0
1300, 0.30243944700000003, 0.0, 1.1647871006992998, 0.0, 0.1348699470848019, 0.5573588211423961, 0.9579111521234605, 100, "[org.moeaframework.core.Solution@41ee392b, org.moeaframework.core.Solution@1e67a849, org.moeaframework.core.Solution@57d5872c, org.moeaframework.core.Solution@667a738, org.moeaframework.core.Solution@36f0f1be, org.moeaframework.core.Solution@157632c9, org.moeaframework.core.Solution@6328d34a, org.moeaframework.core.Solution@145eaa29, org.moeaframework.core.Solution@6ee12bac, org.moeaframework.core.Solution@55040f2f, org.moeaframework.core.Solution@64c87930, org.moeaframework.core.Solution@400cff1a, org.moeaframework.core.Solution@4c40b76e, org.moeaframework.core.Solution@44a664f2, org.moeaframework.core.Solution@275710fc, org.moeaframework.core.Solution@525f1e4e]", 0.48441160844411446, 0.269077102882033, 0.0
1400, 0.326523755, 0.0, 1.139811306653701, 0.0, 0.08654075139771021, 0.5392617596900444, 0.9053518500712344, 100, "[org.moeaframework.core.Solution@75f9eccc, org.moeaframework.core.Solution@52aa2946, org.moeaframework.core.Solution@4de5031f, org.moeaframework.core.Solution@67e2d983, org.moeaframework.core.Solution@5d47c63f, org.moeaframework.core.Solution@5ea434c8, org.moeaframework.core.Solution@3bbc39f8, org.moeaframework.core.Solution@4ae3c1cd, org.moeaframework.core.Solution@29f69090, org.moeaframework.core.Solution@57d5872c, org.moeaframework.core.Solution@667a738, org.moeaframework.core.Solution@568bf312, org.moeaframework.core.Solution@6328d34a, org.moeaframework.core.Solution@ca263c2, org.moeaframework.core.Solution@157632c9, org.moeaframework.core.Solution@589b3632]", 0.4687562276288256, 0.30144010108445596, 0.0
1500, 0.35123461500000003, 0.0, 1.0318855313546915, 0.0, 0.08317603787618467, 0.48242260554415034, 0.834715918674417, 100, "[org.moeaframework.core.Solution@45f45fa1, org.moeaframework.core.Solution@4c6e276e, org.moeaframework.core.Solution@534df152, org.moeaframework.core.Solution@52e677af, org.moeaframework.core.Solution@35083305, org.moeaframework.core.Solution@8e0379d, org.moeaframework.core.Solution@341b80b2, org.moeaframework.core.Solution@55a1c291, org.moeaframework.core.Solution@75f9eccc, org.moeaframework.core.Solution@2145433b, org.moeaframework.core.Solution@4de5031f, org.moeaframework.core.Solution@2890c451, org.moeaframework.core.Solution@5d47c63f, org.moeaframework.core.Solution@40e6dfe1, org.moeaframework.core.Solution@1b083826, org.moeaframework.core.Solution@105fece7, org.moeaframework.core.Solution@3ec300f1, org.moeaframework.core.Solution@57d5872c]", 0.41964074594618805, 0.26155791936057127, 0.0
1600, 0.37599611000000005, 0.0, 0.9279063549723128, 0.01341552143440444, 0.06100253111179105, 0.43098641367692886, 0.7577703473693734, 100, "[org.moeaframework.core.Solution@482cd91f, org.moeaframework.core.Solution@123f1134, org.moeaframework.core.Solution@7d68ef40, org.moeaframework.core.Solution@5b0abc94, org.moeaframework.core.Solution@534df152, org.moeaframework.core.Solution@75c072cb, org.moeaframework.core.Solution@1f1c7bf6, org.moeaframework.core.Solution@25b485ba, org.moeaframework.core.Solution@2b546384, org.moeaframework.core.Solution@55a1c291, org.moeaframework.core.Solution@75f9eccc, org.moeaframework.core.Solution@5d740a0f, org.moeaframework.core.Solution@214b199c, org.moeaframework.core.Solution@20d3d15a, org.moeaframework.core.Solution@105fece7, org.moeaframework.core.Solution@35083305, org.moeaframework.core.Solution@2893de87, org.moeaframework.core.Solution@1b083826, org.moeaframework.core.Solution@55ca8de8, org.moeaframework.core.Solution@3ec300f1, org.moeaframework.core.Solution@57d5872c, org.moeaframework.core.Solution@2c34f934]", 0.37507965889513867, 0.20074846906939037, 0.0
1700, 0.400642404, 0.0, 0.9279063549723128, 0.01604450398552927, 0.06568785737296008, 0.4281994549676878, 0.7464504314226427, 100, "[org.moeaframework.core.Solution@123f1134, org.moeaframework.core.Solution@12d3a4e9, org.moeaframework.core.Solution@534df152, org.moeaframework.core.Solution@7d68ef40, org.moeaframework.core.Solution@240237d2, org.moeaframework.core.Solution@25a65b77, org.moeaframework.core.Solution@2ed0fbae, org.moeaframework.core.Solution@212bf671, org.moeaframework.core.Solution@14a2f921, org.moeaframework.core.Solution@3c87521, org.moeaframework.core.Solution@2aece37d, org.moeaframework.core.Solution@548a102f, org.moeaframework.core.Solution@75f9eccc, org.moeaframework.core.Solution@5762806e, org.moeaframework.core.Solution@17c386de, org.moeaframework.core.Solution@5af97850, org.moeaframework.core.Solution@2893de87]", 0.37272694798619266, 0.20991730687833837, 0.0
1800, 0.423815979, 0.0, 0.9279063549723128, 0.01604450398552927, 0.04576361359243036, 0.4201698539010715, 0.725319645613077, 100, "[org.moeaframework.core.Solution@123f1134, org.moeaframework.core.Solution@5ef60048, org.moeaframework.core.Solution@1d548a08, org.moeaframework.core.Solution@16aa0a0a, org.moeaframework.core.Solution@14a2f921, org.moeaframework.core.Solution@780cb77, org.moeaframework.core.Solution@691a7f8f, org.moeaframework.core.Solution@50a7bc6e, org.moeaframework.core.Solution@161b062a, org.moeaframework.core.Solution@3c87521, org.moeaframework.core.Solution@17c1bced, org.moeaframework.core.Solution@2d9d4f9d, org.moeaframework.core.Solution@4034c28c, org.moeaframework.core.Solution@e50a6f6, org.moeaframework.core.Solution@14ec4505]", 0.36585796746225463, 0.20796391246896284, 0.0
1900, 0.448289849, 0.0, 0.8296516130941326, 0.03501883216126593, 0.0463830517748775, 0.37169097350354946, 0.6646951081884407, 100, "[org.moeaframework.core.Solution@53ca01a2, org.moeaframework.core.Solution@358c99f5, org.moeaframework.core.Solution@3ee0fea4, org.moeaframework.core.Solution@48524010, org.moeaframework.core.Solution@2d9d4f9d, org.moeaframework.core.Solution@4b168fa9, org.moeaframework.core.Solution@1a84f40f, org.moeaframework.core.Solution@1d548a08, org.moeaframework.core.Solution@23282c25, org.moeaframework.core.Solution@7920ba90, org.moeaframework.core.Solution@50a7bc6e, org.moeaframework.core.Solution@6b419da, org.moeaframework.core.Solution@3b2da18f, org.moeaframework.core.Solution@5906ebcb, org.moeaframework.core.Solution@258e2e41, org.moeaframework.core.Solution@3d299e3, org.moeaframework.core.Solution@55a561cf, org.moeaframework.core.Solution@3b938003, org.moeaframework.core.Solution@6f3b5d16, org.moeaframework.core.Solution@78b1cc93, org.moeaframework.core.Solution@6646153, org.moeaframework.core.Solution@21507a04, org.moeaframework.core.Solution@5ef60048]", 0.32376608014731456, 0.17386777221696909, 0.0
2000, 0.474068696, 0.0, 0.6921387997852474, 0.047865324172831465, 0.04643982194791665, 0.3143596705887632, 0.6080529743327401, 100, "[org.moeaframework.core.Solution@358c99f5, org.moeaframework.core.Solution@143640d5, org.moeaframework.core.Solution@3ee0fea4, org.moeaframework.core.Solution@6295d394, org.moeaframework.core.Solution@475e586c, org.moeaframework.core.Solution@3b2da18f, org.moeaframework.core.Solution@657c8ad9, org.moeaframework.core.Solution@436a4e4b, org.moeaframework.core.Solution@f2f2cc1, org.moeaframework.core.Solution@23282c25, org.moeaframework.core.Solution@50a7bc6e, org.moeaframework.core.Solution@3a079870, org.moeaframework.core.Solution@3b2cf7ab, org.moeaframework.core.Solution@7920ba90, org.moeaframework.core.Solution@2aa5fe93, org.moeaframework.core.Solution@5c1a8622, org.moeaframework.core.Solution@6646153, org.moeaframework.core.Solution@258e2e41, org.moeaframework.core.Solution@1d548a08, org.moeaframework.core.Solution@5ad851c9, org.moeaframework.core.Solution@3d299e3, org.moeaframework.core.Solution@6156496, org.moeaframework.core.Solution@3c153a1, org.moeaframework.core.Solution@b62fe6d, org.moeaframework.core.Solution@13acb0d1]", 0.2736724141196949, 0.14469113254439284, 0.0
