NFE, Elapsed Time, R1Indicator, AdditiveEpsilonIndicator, Hypervolume, Spacing, R3Indicator, InvertedGenerationalDistance, Population Size, Approximation Set, R2Indicator, GenerationalDistance, Contribution
100, 0.006859332, 0.0, 1.9969420389025152, 0.0, 0.15296779267267943, 1.474514810907069, 1.5217245328020588, 100, "[org.moeaframework.core.Solution@7bb004b8, org.moeaframework.core.Solution@78e89bfe, org.moeaframework.core.Solution@652ce654, org.moeaframework.core.Solution@522ba524, org.moeaframework.core.Solution@29c5ee1d, org.moeaframework.core.Solution@15cea7b0, org.moeaframework.core.Solution@17d2ed1b, org.moeaframework.core.Solution@185f7840, org.moeaframework.core.Solution@1e6cc850, org.moeaframework.core.Solution@7e7f0f0a, org.moeaframework.core.Solution@7ec58feb, org.moeaframework.core.Solution@1dbb650b]", 1.2290902792089051, 0.4984008356356999, 0.0
200, 0.014106317, 0.0, 1.8684661198665677, 0.0, 0.1265734261737784, 1.3433594924735017, 1.468385388759226, 100, "[org.moeaframework.core.Solution@656d10a4, org.moeaframework.core.Solution@63ec445c, org.moeaframework.core.Solution@7bb004b8, org.moeaframework.core.Solution@3104351d, org.moeaframework.core.Solution@7e7f0f0a, org.moeaframework.core.Solution@77d18d0b, org.moeaframework.core.Solution@7a344b65, org.moeaframework.core.Solution@7b7b3edb, org.moeaframework.core.Solution@522ba524, org.moeaframework.core.Solution@6b474074, org.moeaframework.core.Solution@185f7840, org.moeaframework.core.Solution@17d2ed1b, org.moeaframework.core.Solution@108531c2]", 1.1204802160321554, 0.48741906434638615, 0.0
300, 0.021621393000000003, 0.0, 1.7865443377172794, 0.0, 0.11634095051629333, 1.2548553776167781, 1.3531220366288699, 100, "[org.moeaframework.core.Solution@63ec445c, org.moeaframework.core.Solution@48b22fd4, org.moeaframework.core.Solution@3104351d, org.moeaframework.core.Solution@6a9d5dff, org.moeaframework.core.Solution@3b08f438, org.moeaframework.core.Solution@2bac9ba, org.moeaframework.core.Solution@5b2f8ab6, org.moeaframework.core.Solution@522ba524, org.moeaframework.core.Solution@17d2ed1b, org.moeaframework.core.Solution@5bdd5689, org.moeaframework.core.Solution@2788d0fe, org.moeaframework.core.Solution@73ab3aac, org.moeaframework.core.Solution@54f66455, org.moeaframework.core.Solution@65ae095c, org.moeaframework.core.Solution@108531c2, org.moeaframework.core.Solution@7e7f0f0a, org.moeaframework.core.Solution@185f7840]", 1.0471449193768514, 0.3957986220621227, 0.0
400, 0.028963692000000003, 0.0, 1.3702613958029661, 0.0, 0.2013244378167883, 0.8315246287584571, 0.9634200804511195, 100, "[org.moeaframework.core.Solution@63ec445c, org.moeaframework.core.Solution@4c03a37, org.moeaframework.core.Solution@6a9d5dff, org.moeaframework.core.Solution@2e140e59, org.moeaframework.core.Solution@49a71302, org.moeaframework.core.Solution@522ba524, org.moeaframework.core.Solution@5cd61783, org.moeaframework.core.Solution@17d2ed1b, org.moeaframework.core.Solution@59429fac, org.moeaframework.core.Solution@57aa341b, org.moeaframework.core.Solution@26e412ef, org.moeaframework.core.Solution@4ae263bf, org.moeaframework.core.Solution@2788d0fe, org.moeaframework.core.Solution@108531c2, org.moeaframework.core.Solution@7103ab0]", 0.696934982128409, 0.43320768240211577, 0.0
500, 0.036665612, 0.0, 1.3702613958029661, 0.0, 0.15018946640702732, 0.8308505687055966, 0.9634200804511195, 100, "[org.moeaframework.core.Solution@4c03a37, org.moeaframework.core.Solution@19ccca5, org.moeaframework.core.Solution@6a9d5dff, org.moeaframework.core.Solution@769d513, org.moeaframework.core.Solution@5e4fa1da, org.moeaframework.core.Solution@588cd519, org.moeaframework.core.Solution@3f92c349, org.moeaframework.core.Solution@769a58e5, org.moeaframework.core.Solution@55f8669d, org.moeaframework.core.Solution@6be25526, org.moeaframework.core.Solution@49a71302, org.moeaframework.core.Solution@42435b98, org.moeaframework.core.Solution@66ba7e45, org.moeaframework.core.Solution@70e02081, org.moeaframework.core.Solution@26e412ef, org.moeaframework.core.Solution@9d200de, org.moeaframework.core.Solution@5cd61783, org.moeaframework.core.Solution@511505e7, org.moeaframework.core.Solution@646811d6, org.moeaframework.core.Solution@15fdd1f2]", 0.6963473712828812, 0.3249901381726022, 0.0
600, 0.044468208, 0.0, 1.3133478247662271, 0.0, 0.08554435082588997, 0.7740071419669009, 0.9513617785030342, 100, "[org.moeaframework.core.Solution@cb0f763, org.moeaframework.core.Solution@7573e12f, org.moeaframework.core.Solution@4c03a37, org.moeaframework.core.Solution@51b1a8f6, org.moeaframework.core.Solution@2a389173, org.moeaframework.core.Solution@769d513, org.moeaframework.core.Solution@213860b8, org.moeaframework.core.Solution@4ba89729, org.moeaframework.core.Solution@178270b2, org.moeaframework.core.Solution@5e4fa1da, org.moeaframework.core.Solution@795fd838, org.moeaframework.core.Solution@1b005a0b, org.moeaframework.core.Solution@9d200de, org.moeaframework.core.Solution@26e412ef, org.moeaframework.core.Solution@141e879d, org.moeaframework.core.Solution@109d724c]", 0.6490829089142091, 0.3376584703590398, 0.0
700, 0.053316608, 0.0, 1.2347879530043218, 0.0, 0.09786487708750732, 0.6932282768210807, 0.8973944575511169, 100, "[org.moeaframework.core.Solution@1704f67f, org.moeaframework.core.Solution@e4d2696, org.moeaframework.core.Solution@6e0f7aad, org.moeaframework.core.Solution@15fb7a32, org.moeaframework.core.Solution@213860b8, org.moeaframework.core.Solution@257cc1fc, org.moeaframework.core.Solution@42e22a53, org.moeaframework.core.Solution@57adfab0, org.moeaframework.core.Solution@1949309d, org.moeaframework.core.Solution@5af97169, org.moeaframework.core.Solution@99a78d7, org.moeaframework.core.Solution@31da6b2e, org.moeaframework.core.Solution@61c76850, org.moeaframework.core.Solution@70242f38, org.moeaframework.core.Solution@2a22ad2b]", 0.5819214446472575, 0.3371014011634653, 0.0
800, 0.061122516, 0.0, 1.114598302105295, 0.0, 0.14818782057219815, 0.5778952550012212, 0.8273372289961325, 100, "[org.moeaframework.core.Solution@e4d2696, org.moeaframework.core.Solution@48c3205a, org.moeaframework.core.Solution@121c54fa, org.moeaframework.core.Solution@15fb7a32, org.moeaframework.core.Solution@4390f46e, org.moeaframework.core.Solution@7c6442c2, org.moeaframework.core.Solution@2d746ce4, org.moeaframework.core.Solution@5dbf5634, org.moeaframework.core.Solution@1949309d, org.moeaframework.core.Solution@1948ea69, org.moeaframework.core.Solution@47e4d9d0, org.moeaframework.core.Solution@49798e84, org.moeaframework.core.Solution@6ed06f69, org.moeaframework.core.Solution@3015db78, org.moeaframework.core.Solution@515ebef3, org.moeaframework.core.Solution@70242f38, org.moeaframework.core.Solution@545607f2, org.moeaframework.core.Solution@39109136, org.moeaframework.core.Solution@27c04377, org.moeaframework.core.Solution@34dc85a]", 0.48619483291739496, 0.27894876079817804, 0.0
900, 0.07069990400000001, 0.0, 0.9716577488196709, 0.0, 0.16070772134469408, 0.4537818851288961, 0.7773192650296536, 100, "[org.moeaframework.core.Solution@e4d2696, org.moeaframework.core.Solution@67403656, org.moeaframework.core.Solution@5a6482a9, org.moeaframework.core.Solution@7f9ab969, org.moeaframework.core.Solution@121c54fa, org.moeaframework.core.Solution@12f8b1d8, org.moeaframework.core.Solution@2d746ce4, org.moeaframework.core.Solution@746cd757, org.moeaframework.core.Solution@ae372b9, org.moeaframework.core.Solution@2098d37d, org.moeaframework.core.Solution@77b9d0c7, org.moeaframework.core.Solution@65fd6708, org.moeaframework.core.Solution@15fb7a32, org.moeaframework.core.Solution@48c3205a, org.moeaframework.core.Solution@47e4d9d0, org.moeaframework.core.Solution@1949309d, org.moeaframework.core.Solution@515ebef3, org.moeaframework.core.Solution@749ab7b4, org.moeaframework.core.Solution@127f9161, org.moeaframework.core.Solution@2bf94401, org.moeaframework.core.Solution@2532b351, org.moeaframework.core.Solution@4349754]", 0.38266145312467786, 0.21695816073106222, 0.0
1000, 0.079831317, 0.0, 0.9174184257356657, 0.0, 0.09891588753174684, 0.39713135102749886, 0.70693637042981, 100, "[org.moeaframework.core.Solution@6a2eea2a, org.moeaframework.core.Solution@b967222, org.moeaframework.core.Solution@3b0ee03a, org.moeaframework.core.Solution@1ba05e38, org.moeaframework.core.Solution@6c298dc, org.moeaframework.core.Solution@48c3205a, org.moeaframework.core.Solution@3e7dfd44, org.moeaframework.core.Solution@12f8b1d8, org.moeaframework.core.Solution@723ed581, org.moeaframework.core.Solution@2098d37d, org.moeaframework.core.Solution@5a6482a9, org.moeaframework.core.Solution@2532b351, org.moeaframework.core.Solution@127f9161, org.moeaframework.core.Solution@6b760460, org.moeaframework.core.Solution@796065aa, org.moeaframework.core.Solution@67403656, org.moeaframework.core.Solution@28a6301f, org.moeaframework.core.Solution@2c306a57, org.moeaframework.core.Solution@515ebef3, org.moeaframework.core.Solution@4349754, org.moeaframework.core.Solution@773e2eb5, org.moeaframework.core.Solution@d8948cd, org.moeaframework.core.Solution@1436a7ab]", 0.33535383044271927, 0.20847123163942893, 0.0
